 	PRR0	GPP0
   0--	0#####	......
   1--	0#####	......
   2--	0#####	......
   3--	0#####	......
   4--	0*****	3*****
   5--	0*****	3*****
   6--	0*****	3*****
   7--	0*****	3*****
   8--	0*****	3*****
   9--	0*****	3*****
  10--	0*****	3*****
  11--	0*****	3*****
  12--	0*****	3*****
  13--	0*****	3*****
  14--	0*****	3*****
  15--	0*****	3*****
  16--	0*****	3*****
  17--	0*****	3*****
  18--	0*****	3*****
  19--	0*****	3*****
  20--	4#####	3*****
  21--	4#####	3*****
  22--	4#####	3*****
  23--	4#####	......
  24--	4*****	6*****
  25--	4*****	6*****
  26--	4*****	6*****
  27--	4*****	6*****
  28--	9*****	6*****
  29--	9*****	6*****
  30--	9*****	6*****
  31--	9*****	6*****
  32--	1#####	6*****
  33--	1#####	6*****
  34--	1#####	6*****
  35--	1*****	6*****
  36--	1*****	6*****
  37--	1*****	6*****
  38--	1*****	6*****
  39--	2#####	6*****
  40--	2#####	6*****
  41--	2#####	6*****
  42--	2#####	6*****
  43--	2*****	5*****
  44--	2*****	5*****
  45--	2*****	5*****
  46--	2*****	5*****
  47--	7*****	8*****
  48--	7*****	8*****
  49--	7*****	8*****
  50--	7*****	8*****
